FEN,Evaluation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,"{'type': 'cp', 'value': 78}"
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 49}"
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 75}"
r1bqkbnr/pppp1ppp/2n5/4p3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': -114}"
r1bqkbnr/pppp2pp/2n2p2/4p3/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 157}"
r1bqkbnr/pppp2pp/2n2p2/4P3/4PP2/8/PPP3PP/RNBQKBNR b KQkq - 0 4,"{'type': 'cp', 'value': 99}"
r1bqkbnr/pppp2pp/2n5/4p3/4PP2/8/PPP3PP/RNBQKBNR w KQkq - 0 5,"{'type': 'cp', 'value': 108}"
r1bqkbnr/pppp2pp/2n5/4P3/4P3/8/PPP3PP/RNBQKBNR b KQkq - 0 5,"{'type': 'cp', 'value': -134}"
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNBQKBNR w KQkq - 0 6,"{'type': 'cp', 'value': 45}"
r1bqkbnr/pppp2pp/8/4n3/3QP3/8/PPP3PP/RNB1KBNR b KQkq - 1 6,"{'type': 'cp', 'value': 14}"
r1bqkbnr/pppp2pp/2n5/8/3QP3/8/PPP3PP/RNB1KBNR w KQkq - 2 7,"{'type': 'cp', 'value': 2}"
r1bqkbnr/pppp2pp/2n5/4Q3/4P3/8/PPP3PP/RNB1KBNR b KQkq - 3 7,"{'type': 'cp', 'value': -679}"
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNB1KBNR w KQkq - 0 8,"{'type': 'cp', 'value': -651}"
r1bqkbnr/pppp2pp/8/4n3/2P1P3/8/PP4PP/RNB1KBNR b KQkq - 0 8,"{'type': 'cp', 'value': -743}"
r1bqk1nr/pppp2pp/8/4n3/1bP1P3/8/PP4PP/RNB1KBNR w KQkq - 1 9,"{'type': 'cp', 'value': -762}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 28}"
rnb1kbnr/pp1ppppp/8/q1p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 93}"
rnb1kbnr/pp1ppppp/8/q1p5/4P3/P4N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,"{'type': 'cp', 'value': 46}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,"{'type': 'cp', 'value': 47}"
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 49}"
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 75}"
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': 85}"
r1bqkbnr/ppppnppp/8/3Pp3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,"{'type': 'cp', 'value': 60}"
r1bqkbnr/ppppnppp/8/3Pp3/4P3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,"{'type': 'cp', 'value': 40}"
r1bqkbnr/pppp1ppp/6n1/3Pp3/4P3/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,"{'type': 'cp', 'value': 44}"
r1bqkbnr/pppp1ppp/6n1/3Pp3/1P2P3/2P5/P4PPP/RNBQKBNR b KQkq - 0 5,"{'type': 'cp', 'value': -65}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 36}"
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,"{'type': 'cp', 'value': -2}"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,"{'type': 'cp', 'value': 27}"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,"{'type': 'cp', 'value': 24}"
r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,"{'type': 'cp', 'value': 119}"
r1bqkbnr/pppp1ppp/8/4p3/2BnP3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,"{'type': 'cp', 'value': 66}"
r1bqkbnr/pppp1ppp/8/4p3/2B1P3/3P1n2/PPP2PPP/RNBQK2R w KQkq - 0 5,"{'type': 'cp', 'value': 65}"
r1bqkbnr/pppp1ppp/8/4p3/2B1P3/3P1Q2/PPP2PPP/RNB1K2R b KQkq - 0 5,"{'type': 'cp', 'value': 54}"
r1bqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P1Q2/PPP2PPP/RNB1K2R w KQkq - 1 6,"{'type': 'cp', 'value': 53}"
r1bqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P1Q1P/PPP2PP1/RNB1K2R b KQkq - 0 6,"{'type': 'cp', 'value': 34}"
r1bqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P1Q1P/PPP2PP1/RNB1K2R w KQkq - 1 7,"{'type': 'cp', 'value': 39}"
r1bqk2r/pppp1ppp/5n2/2b1p3/2B1P3/P2P1Q1P/1PP2PP1/RNB1K2R b KQkq - 0 7,"{'type': 'cp', 'value': 21}"
r1bq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/P2P1Q1P/1PP2PP1/RNB1K2R w KQ - 1 8,"{'type': 'cp', 'value': 21}"
r1bq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/P2PBQ1P/1PP2PP1/RN2K2R b KQ - 2 8,"{'type': 'cp', 'value': 10}"
r1bq1rk1/pppp1ppp/5n2/4p3/2B1P3/P2PbQ1P/1PP2PP1/RN2K2R w KQ - 0 9,"{'type': 'cp', 'value': 3}"
r1bq1rk1/pppp1ppp/5n2/4p3/2B1P3/P2PQ2P/1PP2PP1/RN2K2R b KQ - 0 9,"{'type': 'cp', 'value': 7}"
r1bqr1k1/pppp1ppp/5n2/4p3/2B1P3/P2PQ2P/1PP2PP1/RN2K2R w KQ - 1 10,"{'type': 'cp', 'value': -14}"
r1bqr1k1/pppp1ppp/5n2/4p3/2B1P3/P2P1Q1P/1PP2PP1/RN2K2R b KQ - 2 10,"{'type': 'cp', 'value': -24}"
r1bqr1k1/pp1p1ppp/2p2n2/4p3/2B1P3/P2P1Q1P/1PP2PP1/RN2K2R w KQ - 0 11,"{'type': 'cp', 'value': -13}"
r1bqr1k1/pp1p1ppp/2p2n2/4p3/2B1P3/P1NP1Q1P/1PP2PP1/R3K2R b KQ - 1 11,"{'type': 'cp', 'value': -12}"
r1bqr1k1/p2p1ppp/2p2n2/1p2p3/2B1P3/P1NP1Q1P/1PP2PP1/R3K2R w KQ - 0 12,"{'type': 'cp', 'value': -9}"
r1bqr1k1/p2p1ppp/2p2n2/1p2p3/4P3/PBNP1Q1P/1PP2PP1/R3K2R b KQ - 1 12,"{'type': 'cp', 'value': -5}"
r1b1r1k1/p2p1ppp/2p2n2/qp2p3/4P3/PBNP1Q1P/1PP2PP1/R3K2R w KQ - 2 13,"{'type': 'cp', 'value': 60}"
r1b1r1k1/p2p1ppp/2p2n2/qp2p3/4P3/PBNP1Q1P/1PP2PP1/R4RK1 b - - 3 13,"{'type': 'cp', 'value': 20}"
r3r1k1/pb1p1ppp/2p2n2/qp2p3/4P3/PBNP1Q1P/1PP2PP1/R4RK1 w - - 4 14,"{'type': 'cp', 'value': 101}"
r3r1k1/pb1p1ppp/2p2n2/qp2p3/4P3/PB1P1Q1P/1PP1NPP1/R4RK1 b - - 5 14,"{'type': 'cp', 'value': 47}"
r3r1k1/pb1p1ppp/5n2/qpp1p3/4P3/PB1P1Q1P/1PP1NPP1/R4RK1 w - - 0 15,"{'type': 'cp', 'value': 70}"
r3r1k1/pb1p1ppp/5n2/qpp1p3/4P3/PB1P1Q1P/1PP1NPP1/R2R2K1 b - - 1 15,"{'type': 'cp', 'value': -22}"
r3r1k1/pb3ppp/3p1n2/qpp1p3/4P3/PB1P1Q1P/1PP1NPP1/R2R2K1 w - - 0 16,"{'type': 'cp', 'value': 30}"
r3r1k1/pb3ppp/3p1n2/qpp1p3/2P1P3/PB1P1Q1P/1P2NPP1/R2R2K1 b - - 0 16,"{'type': 'cp', 'value': 13}"
r3r1k1/pb3ppp/3p1n2/q1p1p3/2p1P3/PB1P1Q1P/1P2NPP1/R2R2K1 w - - 0 17,"{'type': 'cp', 'value': 48}"
r3r1k1/pb3ppp/3p1n2/q1p1p3/2P1P3/PB3Q1P/1P2NPP1/R2R2K1 b - - 0 17,"{'type': 'cp', 'value': -76}"
2r1r1k1/pb3ppp/3p1n2/q1p1p3/2P1P3/PB3Q1P/1P2NPP1/R2R2K1 w - - 1 18,"{'type': 'cp', 'value': 87}"
2r1r1k1/pb3ppp/3p1n2/q1pRp3/2P1P3/PB3Q1P/1P2NPP1/R5K1 b - - 2 18,"{'type': 'cp', 'value': -320}"
2r1r1k1/p4ppp/3p1n2/q1pbp3/2P1P3/PB3Q1P/1P2NPP1/R5K1 w - - 0 19,"{'type': 'cp', 'value': -291}"
2r1r1k1/p4ppp/3p1n2/q1pPp3/2P5/PB3Q1P/1P2NPP1/R5K1 b - - 0 19,"{'type': 'cp', 'value': -277}"
2r1r1k1/p4ppp/1q1p1n2/2pPp3/2P5/PB3Q1P/1P2NPP1/R5K1 w - - 1 20,"{'type': 'cp', 'value': -245}"
2r1r1k1/p4ppp/1q1p1n2/2pPp3/2P5/PB3Q1P/1P3PP1/R1N3K1 b - - 2 20,"{'type': 'cp', 'value': -298}"
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1p3/PB3Q1P/1P3PP1/R1N3K1 w - - 0 21,"{'type': 'cp', 'value': -283}"
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1pQ2/PB5P/1P3PP1/R1N3K1 b - - 1 21,"{'type': 'cp', 'value': -358}"
2r1r1k1/p4ppp/1q1p4/2pP3n/2P1pQ2/PB5P/1P3PP1/R1N3K1 w - - 2 22,"{'type': 'cp', 'value': -283}"
2r1r1k1/p4ppp/1q1p4/2pP3n/2P1p1Q1/PB5P/1P3PP1/R1N3K1 b - - 3 22,"{'type': 'cp', 'value': -365}"
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1p1Q1/PB5P/1P3PP1/R1N3K1 w - - 4 23,"{'type': 'cp', 'value': -311}"
2r1r1k1/p4ppp/1q1p1n2/2pP4/2P1pQ2/PB5P/1P3PP1/R1N3K1 b - - 5 23,"{'type': 'cp', 'value': -375}"
2r1r1k1/p4ppp/3p1n2/q1pP4/2P1pQ2/PB5P/1P3PP1/R1N3K1 w - - 6 24,"{'type': 'cp', 'value': -320}"
2r1r1k1/p4ppp/3p1n2/q1pP4/2P1pQ2/P6P/1PB2PP1/R1N3K1 b - - 7 24,"{'type': 'cp', 'value': -407}"
2r1r1k1/p4ppp/3p1n2/2pP4/2P1pQ2/P6P/1PB2PP1/R1N1q1K1 w - - 8 25,"{'type': 'cp', 'value': -395}"
2r1r1k1/p4ppp/3p1n2/2pP4/2P1pQ2/P6P/1PB2PPK/R1N1q3 b - - 9 25,"{'type': 'cp', 'value': -422}"
2r1r1k1/p4ppp/3p4/2pP3n/2P1pQ2/P6P/1PB2PPK/R1N1q3 w - - 10 26,"{'type': 'cp', 'value': -300}"
2r1r1k1/p4ppp/3Q4/2pP3n/2P1p3/P6P/1PB2PPK/R1N1q3 b - - 0 26,"{'type': 'cp', 'value': -485}"
2r1r1k1/p4ppp/3Q4/2pP3n/2P1p3/P6P/1PB2qPK/R1N5 w - - 0 27,"{'type': 'cp', 'value': -488}"
2r1r1k1/p4ppp/3Q4/2pP3n/2P1B3/P6P/1P3qPK/R1N5 b - - 0 27,"{'type': 'cp', 'value': -507}"
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P6P/1P3qPK/R1N5 w - - 0 28,"{'type': 'cp', 'value': -529}"
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2N3P/1P3qPK/R7 b - - 1 28,"{'type': 'cp', 'value': -516}"
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2N2qP/1P4PK/R7 w - - 2 29,"{'type': 'cp', 'value': -422}"
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2N2qP/1P4P1/R5K1 b - - 3 29,"{'type': 'cp', 'value': -804}"
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2q3P/1P4P1/R5K1 w - - 0 30,"{'type': 'cp', 'value': -675}"
2r3k1/p4ppp/3Q4/2pP3n/2P1r3/P2q3P/1P4P1/5RK1 b - - 1 30,"{'type': 'cp', 'value': -664}"
4r1k1/p4ppp/3Q4/2pP3n/2P1r3/P2q3P/1P4P1/5RK1 w - - 2 31,"{'type': 'cp', 'value': -636}"
4r1k1/p2Q1ppp/8/2pP3n/2P1r3/P2q3P/1P4P1/5RK1 b - - 3 31,"{'type': 'cp', 'value': -733}"
4r1k1/p2Q1ppp/8/2pP3n/2P1r3/P3q2P/1P4P1/5RK1 w - - 4 32,"{'type': 'cp', 'value': -748}"
4r1k1/p2Q1ppp/8/2pP3n/2P1r3/P3q2P/1P4P1/5R1K b - - 5 32,"{'type': 'mate', 'value': -7}"
4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q1nP/1P4P1/5R1K w - - 6 33,"{'type': 'mate', 'value': -8}"
4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q1nP/1P4PK/5R2 b - - 7 33,"{'type': 'mate', 'value': -7}"
4r1k1/p2Q1ppp/8/2pP4/2P1r3/P3q2P/1P4PK/5n2 w - - 0 34,"{'type': 'mate', 'value': -5}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 35}"
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 40}"
rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,"{'type': 'cp', 'value': 31}"
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,"{'type': 'cp', 'value': 39}"
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 2 5,"{'type': 'cp', 'value': 28}"
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6,"{'type': 'cp', 'value': 37}"
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2P1BN2/PP3PPP/RN1QKB1R b KQkq - 4 6,"{'type': 'cp', 'value': -123}"
r1b1kbnr/pp3ppp/2n1p3/2ppP3/3P4/2P1BN2/Pq3PPP/RN1QKB1R w KQkq - 0 7,"{'type': 'cp', 'value': -121}"
